1,"<a class=""a-link-normal"" href=""/release/rl3108800001/?ref_=bo_md_table_1"">Aquaman</a>","$119,682,416","4,184","$335,061,807",Dec 21,"<a class=""a-link-normal"" href=""https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&amp;ref_=mojo_md_table_1&amp;rf=mojo_md_table_1"" rel=""noopener"" target=""_blank"">Warner Bros.<svg class=""mojo-new-window-svg"" viewbox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M24,15.57251l3,3V23.5A3.50424,3.50424,0,0,1,23.5,27H8.5A3.50424,3.50424,0,0,1,5,23.5V8.5A3.50424,3.50424,0,0,1,8.5,5h4.92755l3,3H8.5a.50641.50641,0,0,0-.5.5v15a.50641.50641,0,0,0,.5.5h15a.50641.50641,0,0,0,.5-.5ZM19.81952,8.56372,12.8844,17.75a.49989.49989,0,0,0,.04547.65479l.66534.66528a.49983.49983,0,0,0,.65479.04553l9.18628-6.93518,2.12579,2.12585a.5.5,0,0,0,.84741-.27526l1.48273-9.35108a.50006.50006,0,0,0-.57214-.57214L17.969,5.59058a.5.5,0,0,0-.27526.84741Z""></path>
</svg></a>",january,2019
2,"<a class=""a-link-normal"" href=""/release/rl1518241281/?ref_=bo_md_table_2"">Glass</a>","$79,120,100","3,844","$111,048,468",Jan 18,"<a class=""a-link-normal"" href=""https://pro.imdb.com/company/co0005073/boxoffice/?view=releases&amp;ref_=mojo_md_table_2&amp;rf=mojo_md_table_2"" rel=""noopener"" target=""_blank"">Universal Pictures<svg class=""mojo-new-window-svg"" viewbox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M24,15.57251l3,3V23.5A3.50424,3.50424,0,0,1,23.5,27H8.5A3.50424,3.50424,0,0,1,5,23.5V8.5A3.50424,3.50424,0,0,1,8.5,5h4.92755l3,3H8.5a.50641.50641,0,0,0-.5.5v15a.50641.50641,0,0,0,.5.5h15a.50641.50641,0,0,0,.5-.5ZM19.81952,8.56372,12.8844,17.75a.49989.49989,0,0,0,.04547.65479l.66534.66528a.49983.49983,0,0,0,.65479.04553l9.18628-6.93518,2.12579,2.12585a.5.5,0,0,0,.84741-.27526l1.48273-9.35108a.50006.50006,0,0,0-.57214-.57214L17.969,5.59058a.5.5,0,0,0-.27526.84741Z""></path>
</svg></a>",january,2019
3,"<a class=""a-link-normal"" href=""/release/rl3204679169/?ref_=bo_md_table_3"">The Upside</a>","$66,740,128","3,568","$108,252,517",Jan 11,"<a class=""a-link-normal"" href=""https://pro.imdb.com/company/co0249694/boxoffice/?view=releases&amp;ref_=mojo_md_table_3&amp;rf=mojo_md_table_3"" rel=""noopener"" target=""_blank"">STX Entertainment<svg class=""mojo-new-window-svg"" viewbox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M24,15.57251l3,3V23.5A3.50424,3.50424,0,0,1,23.5,27H8.5A3.50424,3.50424,0,0,1,5,23.5V8.5A3.50424,3.50424,0,0,1,8.5,5h4.92755l3,3H8.5a.50641.50641,0,0,0-.5.5v15a.50641.50641,0,0,0,.5.5h15a.50641.50641,0,0,0,.5-.5ZM19.81952,8.56372,12.8844,17.75a.49989.49989,0,0,0,.04547.65479l.66534.66528a.49983.49983,0,0,0,.65479.04553l9.18628-6.93518,2.12579,2.12585a.5.5,0,0,0,.84741-.27526l1.48273-9.35108a.50006.50006,0,0,0-.57214-.57214L17.969,5.59058a.5.5,0,0,0-.27526.84741Z""></path>
</svg></a>",january,2019
4,"<a class=""a-link-normal"" href=""/release/rl879986177/?ref_=bo_md_table_4"">Spider-Man: Into the Spider-Verse</a>","$62,729,624","3,813","$190,241,310",Dec 14,"<a class=""a-link-normal"" href=""https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&amp;ref_=mojo_md_table_4&amp;rf=mojo_md_table_4"" rel=""noopener"" target=""_blank"">Sony Pictures Entertainment (SPE)<svg class=""mojo-new-window-svg"" viewbox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M24,15.57251l3,3V23.5A3.50424,3.50424,0,0,1,23.5,27H8.5A3.50424,3.50424,0,0,1,5,23.5V8.5A3.50424,3.50424,0,0,1,8.5,5h4.92755l3,3H8.5a.50641.50641,0,0,0-.5.5v15a.50641.50641,0,0,0,.5.5h15a.50641.50641,0,0,0,.5-.5ZM19.81952,8.56372,12.8844,17.75a.49989.49989,0,0,0,.04547.65479l.66534.66528a.49983.49983,0,0,0,.65479.04553l9.18628-6.93518,2.12579,2.12585a.5.5,0,0,0,.84741-.27526l1.48273-9.35108a.50006.50006,0,0,0-.57214-.57214L17.969,5.59058a.5.5,0,0,0-.27526.84741Z""></path>
</svg></a>",january,2019
5,"<a class=""a-link-normal"" href=""/release/rl3263137281/?ref_=bo_md_table_5"">Mary Poppins Returns</a>","$60,351,379","4,090","$171,958,438",Dec 19,"<a class=""a-link-normal"" href=""https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&amp;ref_=mojo_md_table_5&amp;rf=mojo_md_table_5"" rel=""noopener"" target=""_blank"">Walt Disney Studios Motion Pictures<svg class=""mojo-new-window-svg"" viewbox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M24,15.57251l3,3V23.5A3.50424,3.50424,0,0,1,23.5,27H8.5A3.50424,3.50424,0,0,1,5,23.5V8.5A3.50424,3.50424,0,0,1,8.5,5h4.92755l3,3H8.5a.50641.50641,0,0,0-.5.5v15a.50641.50641,0,0,0,.5.5h15a.50641.50641,0,0,0,.5-.5ZM19.81952,8.56372,12.8844,17.75a.49989.49989,0,0,0,.04547.65479l.66534.66528a.49983.49983,0,0,0,.65479.04553l9.18628-6.93518,2.12579,2.12585a.5.5,0,0,0,.84741-.27526l1.48273-9.35108a.50006.50006,0,0,0-.57214-.57214L17.969,5.59058a.5.5,0,0,0-.27526.84741Z""></path>
</svg></a>",january,2019
6,"<a class=""a-link-normal"" href=""/release/rl2139063809/?ref_=bo_md_table_6"">Bumblebee</a>","$50,927,069","3,597","$127,195,589",Dec 21,"<a class=""a-link-normal"" href=""https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&amp;ref_=mojo_md_table_6&amp;rf=mojo_md_table_6"" rel=""noopener"" target=""_blank"">Paramount Pictures<svg class=""mojo-new-window-svg"" viewbox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M24,15.57251l3,3V23.5A3.50424,3.50424,0,0,1,23.5,27H8.5A3.50424,3.50424,0,0,1,5,23.5V8.5A3.50424,3.50424,0,0,1,8.5,5h4.92755l3,3H8.5a.50641.50641,0,0,0-.5.5v15a.50641.50641,0,0,0,.5.5h15a.50641.50641,0,0,0,.5-.5ZM19.81952,8.56372,12.8844,17.75a.49989.49989,0,0,0,.04547.65479l.66534.66528a.49983.49983,0,0,0,.65479.04553l9.18628-6.93518,2.12579,2.12585a.5.5,0,0,0,.84741-.27526l1.48273-9.35108a.50006.50006,0,0,0-.57214-.57214L17.969,5.59058a.5.5,0,0,0-.27526.84741Z""></path>
</svg></a>",january,2019
7,"<a class=""a-link-normal"" href=""/release/rl2852423169/?ref_=bo_md_table_7"">Escape Room</a>","$49,189,300","2,717","$57,005,601",Jan 4,"<a class=""a-link-normal"" href=""https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&amp;ref_=mojo_md_table_7&amp;rf=mojo_md_table_7"" rel=""noopener"" target=""_blank"">Sony Pictures Entertainment (SPE)<svg class=""mojo-new-window-svg"" viewbox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M24,15.57251l3,3V23.5A3.50424,3.50424,0,0,1,23.5,27H8.5A3.50424,3.50424,0,0,1,5,23.5V8.5A3.50424,3.50424,0,0,1,8.5,5h4.92755l3,3H8.5a.50641.50641,0,0,0-.5.5v15a.50641.50641,0,0,0,.5.5h15a.50641.50641,0,0,0,.5-.5ZM19.81952,8.56372,12.8844,17.75a.49989.49989,0,0,0,.04547.65479l.66534.66528a.49983.49983,0,0,0,.65479.04553l9.18628-6.93518,2.12579,2.12585a.5.5,0,0,0,.84741-.27526l1.48273-9.35108a.50006.50006,0,0,0-.57214-.57214L17.969,5.59058a.5.5,0,0,0-.27526.84741Z""></path>
</svg></a>",january,2019
8,"<a class=""a-link-normal"" href=""/release/rl4077356545/?ref_=bo_md_table_8"">The Mule</a>","$36,107,528","3,329","$103,804,407",Dec 14,"<a class=""a-link-normal"" href=""https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&amp;ref_=mojo_md_table_8&amp;rf=mojo_md_table_8"" rel=""noopener"" target=""_blank"">Warner Bros.<svg class=""mojo-new-window-svg"" viewbox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M24,15.57251l3,3V23.5A3.50424,3.50424,0,0,1,23.5,27H8.5A3.50424,3.50424,0,0,1,5,23.5V8.5A3.50424,3.50424,0,0,1,8.5,5h4.92755l3,3H8.5a.50641.50641,0,0,0-.5.5v15a.50641.50641,0,0,0,.5.5h15a.50641.50641,0,0,0,.5-.5ZM19.81952,8.56372,12.8844,17.75a.49989.49989,0,0,0,.04547.65479l.66534.66528a.49983.49983,0,0,0,.65479.04553l9.18628-6.93518,2.12579,2.12585a.5.5,0,0,0,.84741-.27526l1.48273-9.35108a.50006.50006,0,0,0-.57214-.57214L17.969,5.59058a.5.5,0,0,0-.27526.84741Z""></path>
</svg></a>",january,2019
9,"<a class=""a-link-normal"" href=""/release/rl3238364673/?ref_=bo_md_table_9"">A Dog's Way Home</a>","$32,392,871","3,090","$42,004,346",Jan 11,"<a class=""a-link-normal"" href=""https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&amp;ref_=mojo_md_table_9&amp;rf=mojo_md_table_9"" rel=""noopener"" target=""_blank"">Sony Pictures Entertainment (SPE)<svg class=""mojo-new-window-svg"" viewbox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M24,15.57251l3,3V23.5A3.50424,3.50424,0,0,1,23.5,27H8.5A3.50424,3.50424,0,0,1,5,23.5V8.5A3.50424,3.50424,0,0,1,8.5,5h4.92755l3,3H8.5a.50641.50641,0,0,0-.5.5v15a.50641.50641,0,0,0,.5.5h15a.50641.50641,0,0,0,.5-.5ZM19.81952,8.56372,12.8844,17.75a.49989.49989,0,0,0,.04547.65479l.66534.66528a.49983.49983,0,0,0,.65479.04553l9.18628-6.93518,2.12579,2.12585a.5.5,0,0,0,.84741-.27526l1.48273-9.35108a.50006.50006,0,0,0-.57214-.57214L17.969,5.59058a.5.5,0,0,0-.27526.84741Z""></path>
</svg></a>",january,2019
10,"<a class=""a-link-normal"" href=""/release/rl2231862785/?ref_=bo_md_table_10"">Dragon Ball Super: Broly</a>","$29,101,834","1,267","$30,712,119",Jan 16,"<a class=""a-link-normal"" href=""https://pro.imdb.com/company/co0039940/boxoffice/?view=releases&amp;ref_=mojo_md_table_10&amp;rf=mojo_md_table_10"" rel=""noopener"" target=""_blank"">FUNimation Entertainment<svg class=""mojo-new-window-svg"" viewbox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M24,15.57251l3,3V23.5A3.50424,3.50424,0,0,1,23.5,27H8.5A3.50424,3.50424,0,0,1,5,23.5V8.5A3.50424,3.50424,0,0,1,8.5,5h4.92755l3,3H8.5a.50641.50641,0,0,0-.5.5v15a.50641.50641,0,0,0,.5.5h15a.50641.50641,0,0,0,.5-.5ZM19.81952,8.56372,12.8844,17.75a.49989.49989,0,0,0,.04547.65479l.66534.66528a.49983.49983,0,0,0,.65479.04553l9.18628-6.93518,2.12579,2.12585a.5.5,0,0,0,.84741-.27526l1.48273-9.35108a.50006.50006,0,0,0-.57214-.57214L17.969,5.59058a.5.5,0,0,0-.27526.84741Z""></path>
</svg></a>",january,2019
